username, created_at, lng, lat, text
cooksey_ford, Fri Jan 29 23:41:52 +0000 2021, -77.061923, 38.739418, Why wd @RepCartwright sign letter w/some of the craziest/most hateful members of @HouseGOP who r going after little… https://t.co/PDEv9ECYwE 
blane9171, Fri Jan 29 23:43:59 +0000 2021, -77.604684, 41.117936, @ShortingIsFun @BongripCapital https://t.co/53ACGfFfkI 
Jadabish11, Fri Jan 29 23:44:03 +0000 2021, -75.181477, 39.829877, #NYSE shitting itself over $AMC $GME $NOK LOL - I ain't going nowhere, though my typicals might be sold &amp; I might m… https://t.co/rZD4WRbIy1 
KellyBaker1996, Fri Jan 29 23:46:16 +0000 2021, -75.605775, 39.959930, Free Market** $gme $amc(Rules and restrictions apply)(No refunds no returns)(Subject to credit approval)(Some a… https://t.co/jOQztvRJrS 
Goldirocks96, Fri Jan 29 23:46:48 +0000 2021, -111.931711, 34.168253, I can't wait for David Fincher to make a movie on all this 🙌🏻💎🚀🌕 $GME https://t.co/272IzUjPjG 
KellyBaker1996, Fri Jan 29 23:50:17 +0000 2021, -75.605775, 39.959930, We beat them at their own game, and they had better remember this. We didn't forget when they sold sub-prime mortga… https://t.co/4QYChOqFRf 
chefmed804, Fri Jan 29 23:51:47 +0000 2021, -83.804475, 27.698682, The perfect sock doesn’t exi....... @MichaelRyanRuiz @JuJuGotti @ChrisCoteDLPA @LeBatardShow  $gme $amc $nakd… https://t.co/U1vLx6MXVe 
JTMurphy89, Fri Jan 29 23:52:13 +0000 2021, -81.585305, 28.405863, If $AMC and $GME were dating @ Trader Sam's Grog Grotto https://t.co/1C2C3TmImU 
enriqueabeyta, Fri Jan 29 23:55:05 +0000 2021, -111.965525, 33.545687, Are the meme stocks $GME $AMC the only good hedges for this #StockMarket correction? 
WMcGonnell, Fri Jan 29 23:55:09 +0000 2021, -79.980689, 40.431389, I deserve millions for my .20 shares of $GME and 3 shares of $amc 
TKhanShena, Fri Jan 29 23:55:12 +0000 2021, -79.645081, 43.418190, @chamath @SoFi @CashApp @public Sorry Man! You have no class. You sold $GME first and disclose later. Now bash Robi… https://t.co/V6IoddBBju 
mattbo_0, Fri Jan 29 23:55:39 +0000 2021, -77.014398, 38.898603, out of context in context Community$AMC $GME $NOK $NAKD $DOGE https://t.co/YY0eukIbyN 
unicosunidos, Fri Jan 29 23:56:07 +0000 2021, -118.156711, 33.809172, @PJ_Matlock WE UP! CHOPPING THESE HEDGE FUNDS DAY BY DAY til’ WE HIT THE MF’ MOON $BB $AMC $GME https://t.co/TKiwJz0N9G 
sanjaykalra, Fri Jan 29 23:57:09 +0000 2021, -121.979527, 37.523645, Wow! A real zinger by Kim Warp @NewYorker! #GME #GameStop #GameStonks $GME @RobinhoodApp https://t.co/JdpaK2Og2w 
southarcher, Fri Jan 29 23:57:21 +0000 2021, -122.240595, 47.853083, I have tired of this $GME Mania but it becomes mainstream topic. Trading itself isn't biggy but chain reaction coul… https://t.co/b8vLCYRCdH 
_Ashleyan, Fri Jan 29 23:57:34 +0000 2021, -3.203009, 55.943196, Strong hold until we reach the moon🚀🚀 @LewisNWatson @GC79_LOL #WSB#wallstreetbets $amc$gme#tothemoon https://t.co/CZ8D1bFFDZ 
hewyheff, Sat Jan 30 00:01:05 +0000 2021, -73.968542, 40.780709, BTWFor those that don’t knowThis is Steve Cohen, owner of the NY Mets, also owner of Point72 Asset Management… https://t.co/3eytRKDLAH 
JoPushmusic, Sat Jan 30 00:01:42 +0000 2021, -71.007364, 42.201071, Concept: sample the cries of Suits $BB $GME $AMC $DOGE $BTC https://t.co/yyz5eUh0Sk 
igregward, Sat Jan 30 00:02:47 +0000 2021, -111.738566, 33.295215, The original. 
SDLangager, Sat Jan 30 00:03:28 +0000 2021, -81.840904, 41.152510, We betting on bets now lol 
Will_Corkin, Sat Jan 30 00:04:57 +0000 2021, 114.139883, 22.276870, This is why #DeFi will be the winner when all the dust settles... decentralization with users taking the profits th… https://t.co/43gEPwQzh7 
Totalhuntermove, Sat Jan 30 00:07:10 +0000 2021, -84.736468, 33.731779, Ironing my finest TAPOUT shirt before telling the Texas Roadhouse waitress’s about my gains on $GME $AMC ! 
TheLarkInn, Sat Jan 30 00:10:07 +0000 2021, -120.882482, 47.273022, When you're desperate to spread lies, you'll pay anything to get there. @TwitterSupport is this even legal to pay f… https://t.co/m8gKhyYz0O 
bubbilygum, Sat Jan 30 00:12:53 +0000 2021, -1.425089, 51.588858, I didn’t realise how much I needed this $gme story but I really did https://t.co/tYIO4tOJkj 
mikedoyleforpa, Sat Jan 30 00:13:57 +0000 2021, -75.117998, 40.004866, 🍆👊🍆👊🍆👊🚀🚀🚀🦍🦍🦍🤷‍♂️🤷‍♂️🤷‍♂️😂😂😂 
httpJunkie, Sat Jan 30 00:14:06 +0000 2021, -121.979527, 37.523645, If $GME has anything to do with the rest of the market being down more than expected. Did @wallstreetbets actually… https://t.co/lxy5OvTzYK 
CodeWilliamson, Sat Jan 30 00:15:56 +0000 2021, -79.460580, 44.050196, $GME STONK! of a week! #gme #StonksOnlyGoUp #StonkMarket 
